状态,代码,名称,趋势,5日涨跌幅_%,10日涨跌幅_%,20日涨跌幅_%,RSI14,K,D,J,KDJ状态,DIF,DEA,MACD柱,MACD状态,情绪分数,情绪标签,情绪缺失项,净流入截至,5日份额净流入_元,5日净流入错误,10日份额净流入_元,10日净流入错误,20日份额净流入_元,20日净流入错误,政策面理由,基本面理由,技术面理由,情绪面理由
技术候选,515630,证券保险ETF鹏华,多头,2.6066,1.3261,0.7758,42.4658,62.63,49.08,89.73,多头,0.009253,0.009944,-0.001382,收敛,75.89,偏热,,2026-07-20,376033000.00,,388883500.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+2.61%/+1.33%/+0.78%，RSI14=42.5，KDJ=多头，MACD=收敛。,情绪分数75.9（偏热）；5/10/20日份额净流入为+3.76亿/+3.89亿/N/A(missing_share_date)，5日成交量相对前20日为1.95倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,159992,创新药ETF银华,多头,0.1139,5.7762,16.8883,56.4935,58.35,61.77,51.51,空头,0.028239,0.025954,0.004569,零轴上多头,61.87,偏热,,2026-07-20,158670000.00,,199799400.00,,,missing_share_date,医保部门推进2026年药品目录与创新药目录形式审查，政策继续支持临床价值明确的创新，但准入和价格仍有约束。 [国家医疗保障局｜2026-07-14｜2026年国家基本医疗保险、生育保险和工伤保险药品目录及商业健康保险创新药品目录调整通过形式审查的申报药品名单](https://www.nhsa.gov.cn/art/2026/7/14/art_109_21421.html),医保局披露2026年上半年创新药对外授权交易总金额约1100亿美元，显示研发资产国际化活跃；里程碑兑现与个股差异仍大。 [国家医疗保障局｜2026-07-14｜我国创新药对外授权交易保持活跃](https://www.nhsa.gov.cn/art/2026/7/14/art_14_21423.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.11%/+5.78%/+16.89%，RSI14=56.5，KDJ=空头，MACD=零轴上多头。,情绪分数61.9（偏热）；5/10/20日份额净流入为+1.59亿/+2.00亿/N/A(missing_share_date)，5日成交量相对前20日为1.42倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,159985,豆粕ETF华夏,多头,-0.2724,2.1385,10.1805,70.1613,58.09,63.58,47.10,空头,0.037958,0.031385,0.013145,零轴上多头,60.49,偏热,,2026-07-20,13062000.00,,26067600.00,,,missing_share_date,"商品和黄金ETF主要受全球定价、汇率和地缘风险影响，本报告不设置方向性政策利好结论。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","全球通胀回落受阻且冲突与市场重定价风险仍存，黄金与商品具备对冲叙事但价格可能高波动。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-0.27%/+2.14%/+10.18%，RSI14=70.2，KDJ=空头，MACD=零轴上多头。,情绪分数60.5（偏热）；5/10/20日份额净流入为+0.13亿/+0.26亿/N/A(missing_share_date)，5日成交量相对前20日为1.58倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,513650,标普500ETF南方,多头,-0.1048,-0.0524,2.0343,56.3380,40.20,55.93,8.74,空头,0.007530,0.008496,-0.001932,收敛,60.44,偏热,,2026-07-20,80442000.00,,175472000.00,,,missing_share_date,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-0.10%/-0.05%/+2.03%，RSI14=56.3，KDJ=空头，MACD=收敛。,情绪分数60.4（偏热）；5/10/20日份额净流入为+0.80亿/+1.75亿/N/A(missing_share_date)，5日成交量相对前20日为1.38倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,513120,港股创新药ETF广发,多头,0.2555,3.0648,19.2503,58.5082,47.03,53.55,33.98,空头,0.029578,0.025469,0.008218,零轴上多头,57.10,中性,,2026-07-20,94321000.00,,102967500.00,,,missing_share_date,医保部门推进2026年药品目录与创新药目录形式审查，政策继续支持临床价值明确的创新，但准入和价格仍有约束。 [国家医疗保障局｜2026-07-14｜2026年国家基本医疗保险、生育保险和工伤保险药品目录及商业健康保险创新药品目录调整通过形式审查的申报药品名单](https://www.nhsa.gov.cn/art/2026/7/14/art_109_21421.html),医保局披露2026年上半年创新药对外授权交易总金额约1100亿美元，显示研发资产国际化活跃；里程碑兑现与个股差异仍大。 [国家医疗保障局｜2026-07-14｜我国创新药对外授权交易保持活跃](https://www.nhsa.gov.cn/art/2026/7/14/art_14_21423.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.26%/+3.06%/+19.25%，RSI14=58.5，KDJ=空头，MACD=零轴上多头。,情绪分数57.1（中性）；5/10/20日份额净流入为+0.94亿/+1.03亿/N/A(missing_share_date)，5日成交量相对前20日为1.39倍，代表池综合宽度42.6%，缺失分项：无。
技术候选,511190,信用债ETF海富通,多头,0.0850,0.0684,0.1486,71.3725,90.64,86.77,98.37,超买,0.067859,0.073361,-0.011003,收敛,57.01,中性,,2026-07-20,102333000.00,,217999550.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.09%/+0.07%/+0.15%，RSI14=71.4，KDJ=超买，MACD=收敛。,情绪分数57.0（中性）；5/10/20日份额净流入为+1.02亿/+2.18亿/N/A(missing_share_date)，5日成交量相对前20日为0.64倍，代表池综合宽度42.6%，缺失分项：无。
观察,562350,电力ETF银华,震荡,5.5089,6.2030,-0.6157,57.1429,74.58,57.10,109.56,多头,-0.017423,-0.028433,0.022021,收敛,77.87,偏热,,2026-07-20,25486000.00,,26550000.00,,,missing_share_date,2026年汽车标准化工作聚焦新能源汽车、智能网联、汽车芯片、固态电池等方向；同时部分税收优惠未来调整，需兼顾支持与退坡风险。 [工业和信息化部｜2026-06-12｜2026年汽车标准化工作要点](https://www.miit.gov.cn/xwfb/gxdt/sjdt/art/2026/art_202b76b65f354309a28d38686d988108.html),制造业整体保持增长，但新能源链仍受价格竞争、产能利用率与海外需求影响；仅凭政策不能替代盈利和资金验证。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+5.51%/+6.20%/-0.62%，RSI14=57.1，KDJ=多头，MACD=收敛。,情绪分数77.9（偏热）；5/10/20日份额净流入为+0.25亿/+0.27亿/N/A(missing_share_date)，5日成交量相对前20日为2.13倍，代表池综合宽度42.6%，缺失分项：无。
观察,510050,上证50ETF华夏,震荡,0.7194,2.2576,2.4958,50.4658,48.87,41.36,63.89,金叉,0.002580,0.004859,-0.004557,收敛,75.98,偏热,,2026-07-20,4997522700.00,,5779951200.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为+0.72%/+2.26%/+2.50%，RSI14=50.5，KDJ=金叉，MACD=收敛。,情绪分数76.0（偏热）；5/10/20日份额净流入为+49.98亿/+57.80亿/N/A(missing_share_date)，5日成交量相对前20日为1.80倍，代表池综合宽度42.6%，缺失分项：无。
观察,159887,银行ETF富国,震荡,1.3365,3.9516,1.5760,72.1649,79.81,84.38,70.67,死叉,0.008998,0.000804,0.016387,零轴上多头,68.99,偏热,,2026-07-20,63136800.00,,7496100.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+1.34%/+3.95%/+1.58%，RSI14=72.2，KDJ=死叉，MACD=零轴上多头。,情绪分数69.0（偏热）；5/10/20日份额净流入为+0.63亿/+0.07亿/N/A(missing_share_date)，5日成交量相对前20日为1.07倍，代表池综合宽度42.6%，缺失分项：无。
观察,159852,软件ETF嘉实,震荡,2.8190,5.3191,-3.2123,46.9194,38.95,36.84,43.17,金叉,-0.012417,-0.015341,0.005846,收敛,68.64,偏热,,2026-07-20,327683000.00,,250703000.00,,,missing_share_date,六部门部署智能工厂梯度培育，政策支持人工智能与制造业融合和场景落地；执行节奏与商业化质量仍需验证。 [工业和信息化部等六部门｜2026-07-15｜关于开展2026年度智能工厂梯度培育行动的通知](https://www.ncsti.gov.cn/kjdt/tzgg/202607/t20260720_251553.html),上半年制造业增加值同比增长5.6%，为数字化和AI应用提供需求基础；ETF成份股估值与订单兑现差异较大。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+2.82%/+5.32%/-3.21%，RSI14=46.9，KDJ=金叉，MACD=收敛。,情绪分数68.6（偏热）；5/10/20日份额净流入为+3.28亿/+2.51亿/N/A(missing_share_date)，5日成交量相对前20日为1.10倍，代表池综合宽度42.6%，缺失分项：无。
观察,561260,能源ETF工银,震荡,2.2241,3.5893,-1.0367,57.7114,50.38,48.26,54.62,多头,-0.017779,-0.026618,0.017677,收敛,67.20,偏热,,2026-07-20,3488800.00,,3963200.00,,,missing_share_date,近90日未发现新增直接政策催化；3月国家能源局年度标准计划覆盖煤炭、油气和新能源等领域，侧重安全、绿色和标准化转型。 [国家能源局｜2026-03-24｜2026年能源行业标准计划立项指南](https://www.nea.gov.cn/20260324/a3810b8d733c4972a67ef5891a17b8ea/20260324a3810b8d733c4972a67ef5891a17b8ea_49f3818b8b71ed439ca1d10cceef0bc714.pdf),"全球增长仍有韧性但能源与地缘风险并存，资源品价格可能保持高波动；应以趋势、库存和份额申赎共同确认。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+2.22%/+3.59%/-1.04%，RSI14=57.7，KDJ=多头，MACD=收敛。,情绪分数67.2（偏热）；5/10/20日份额净流入为+0.03亿/+0.04亿/N/A(missing_share_date)，5日成交量相对前20日为0.93倍，代表池综合宽度42.6%，缺失分项：无。
观察,511090,30年国债ETF鹏扬,震荡,0.1341,0.0885,-0.0438,55.1819,41.08,38.14,46.96,多头,-0.003233,0.026620,-0.059706,收敛,66.07,偏热,,2026-07-20,816067930.00,,3032085820.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20下方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为+0.13%/+0.09%/-0.04%，RSI14=55.2，KDJ=多头，MACD=收敛。,情绪分数66.1（偏热）；5/10/20日份额净流入为+8.16亿/+30.32亿/N/A(missing_share_date)，5日成交量相对前20日为0.84倍，代表池综合宽度42.6%，缺失分项：无。
观察,159981,能源化工ETF建信,震荡,0.0663,7.0213,3.4270,69.0402,74.91,75.14,74.47,死叉,-0.006382,-0.024729,0.036693,收敛,65.71,偏热,,2026-07-20,65830000.00,,58686000.00,,,missing_share_date,近90日未发现新增直接政策催化；3月国家能源局年度标准计划覆盖煤炭、油气和新能源等领域，侧重安全、绿色和标准化转型。 [国家能源局｜2026-03-24｜2026年能源行业标准计划立项指南](https://www.nea.gov.cn/20260324/a3810b8d733c4972a67ef5891a17b8ea/20260324a3810b8d733c4972a67ef5891a17b8ea_49f3818b8b71ed439ca1d10cceef0bc714.pdf),"全球增长仍有韧性但能源与地缘风险并存，资源品价格可能保持高波动；应以趋势、库存和份额申赎共同确认。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+0.07%/+7.02%/+3.43%，RSI14=69.0，KDJ=死叉，MACD=收敛。,情绪分数65.7（偏热）；5/10/20日份额净流入为+0.66亿/+0.59亿/N/A(missing_share_date)，5日成交量相对前20日为0.96倍，代表池综合宽度42.6%，缺失分项：无。
观察,511180,可转债ETF海富通,震荡,0.6309,0.8138,0.3381,53.9860,57.68,44.42,84.20,金叉,-0.032076,-0.042728,0.021304,收敛,65.41,偏热,,2026-07-20,196232700.00,,1257366000.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+0.63%/+0.81%/+0.34%，RSI14=54.0，KDJ=金叉，MACD=收敛。,情绪分数65.4（偏热）；5/10/20日份额净流入为+1.96亿/+12.57亿/N/A(missing_share_date)，5日成交量相对前20日为1.12倍，代表池综合宽度42.6%，缺失分项：无。
观察,159399,现金流ETF国泰,震荡,3.5941,4.9251,2.6178,68.0233,80.47,77.88,85.66,多头,-0.006000,-0.016614,0.021227,收敛,64.70,偏热,,2026-07-20,68090000.00,,113040000.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+3.59%/+4.93%/+2.62%，RSI14=68.0，KDJ=多头，MACD=收敛。,情绪分数64.7（偏热）；5/10/20日份额净流入为+0.68亿/+1.13亿/N/A(missing_share_date)，5日成交量相对前20日为0.94倍，代表池综合宽度42.6%，缺失分项：无。
观察,159825,农业ETF富国,震荡,2.7697,0.7143,5.2239,56.1151,78.10,72.75,88.79,多头,-0.000928,-0.006443,0.011030,收敛,63.76,偏热,,2026-07-20,24376000.00,,-1175000.00,,,missing_share_date,近90日未发现新增直接政策催化；2月中央一号文件强调农业综合生产能力、农民增收和县域产业，构成中长期政策背景。 [国家林业和草原局（新华社稿）｜2026-02-03｜2026年中央一号文件发布 部署扎实推进乡村全面振兴](https://www.forestry.gov.cn/c/www/szxx/659115.jhtml),上半年社会消费品零售总额同比增长1.3%，粮油食品和饮料类分别增长7.4%和6.0%；消费恢复但总体增速温和。 [国家统计局｜2026-07-15｜上半年消费市场基本平稳 新型消费成长壮大](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964127.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+2.77%/+0.71%/+5.22%，RSI14=56.1，KDJ=多头，MACD=收敛。,情绪分数63.8（偏热）；5/10/20日份额净流入为+0.24亿/-0.01亿/N/A(missing_share_date)，5日成交量相对前20日为1.03倍，代表池综合宽度42.6%，缺失分项：无。
观察,159865,养殖ETF国泰,震荡,0.9597,-0.7547,6.4777,53.8462,65.49,70.62,55.21,空头,0.001950,-0.001529,0.006959,收敛,57.72,中性,,2026-07-20,60474000.00,,392125000.00,,,missing_share_date,近90日未发现新增直接政策催化；2月中央一号文件强调农业综合生产能力、农民增收和县域产业，构成中长期政策背景。 [国家林业和草原局（新华社稿）｜2026-02-03｜2026年中央一号文件发布 部署扎实推进乡村全面振兴](https://www.forestry.gov.cn/c/www/szxx/659115.jhtml),上半年社会消费品零售总额同比增长1.3%，粮油食品和饮料类分别增长7.4%和6.0%；消费恢复但总体增速温和。 [国家统计局｜2026-07-15｜上半年消费市场基本平稳 新型消费成长壮大](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964127.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+0.96%/-0.75%/+6.48%，RSI14=53.8，KDJ=空头，MACD=收敛。,情绪分数57.7（中性）；5/10/20日份额净流入为+0.60亿/+3.92亿/N/A(missing_share_date)，5日成交量相对前20日为1.16倍，代表池综合宽度42.6%，缺失分项：无。
观察,512880,证券ETF国泰,震荡,1.7210,0.0000,-0.7073,38.5281,48.20,36.58,71.42,多头,0.008256,0.012405,-0.008297,收敛,55.45,中性,,2026-07-20,544076000.00,,2695829000.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20下方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+1.72%/+0.00%/-0.71%，RSI14=38.5，KDJ=多头，MACD=收敛。,情绪分数55.5（中性）；5/10/20日份额净流入为+5.44亿/+26.96亿/N/A(missing_share_date)，5日成交量相对前20日为0.94倍，代表池综合宽度42.6%，缺失分项：无。
观察,510810,上海国企ETF汇添富,震荡,1.5719,2.4390,1.0830,52.1368,51.73,47.22,60.77,金叉,-0.001876,-0.003907,0.004061,收敛,55.39,中性,,2026-07-20,-30249700.00,,-31383300.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+1.57%/+2.44%/+1.08%，RSI14=52.1，KDJ=金叉，MACD=收敛。,情绪分数55.4（中性）；5/10/20日份额净流入为-0.30亿/-0.31亿/N/A(missing_share_date)，5日成交量相对前20日为3.12倍，代表池综合宽度42.6%，缺失分项：无。
观察,159691,港股红利ETF工银,震荡,1.3746,5.0757,4.3324,69.9115,81.71,77.38,90.37,多头,-0.001825,-0.012670,0.021691,收敛,54.21,中性,,2026-07-20,-2357000.00,,43138000.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+1.37%/+5.08%/+4.33%，RSI14=69.9，KDJ=多头，MACD=收敛。,情绪分数54.2（中性）；5/10/20日份额净流入为-0.02亿/+0.43亿/N/A(missing_share_date)，5日成交量相对前20日为1.30倍，代表池综合宽度42.6%，缺失分项：无。
观察,518880,黄金ETF华安,震荡,1.1585,-1.4773,-0.7848,60.8035,35.57,31.53,43.66,金叉,-0.144853,-0.166397,0.043087,收敛,51.43,中性,,2026-07-20,287456800.00,,260537800.00,,,missing_share_date,"商品和黄金ETF主要受全球定价、汇率和地缘风险影响，本报告不设置方向性政策利好结论。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","全球通胀回落受阻且冲突与市场重定价风险仍存，黄金与商品具备对冲叙事但价格可能高波动。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+1.16%/-1.48%/-0.78%，RSI14=60.8，KDJ=金叉，MACD=收敛。,情绪分数51.4（中性）；5/10/20日份额净流入为+2.87亿/+2.61亿/N/A(missing_share_date)，5日成交量相对前20日为0.71倍，代表池综合宽度42.6%，缺失分项：无。
观察,159100,巴西ETF华夏,震荡,-0.4496,2.0276,5.2281,58.2011,55.55,60.28,46.07,空头,0.001239,-0.003050,0.008579,收敛,47.19,中性,,2026-07-20,0.00,,1086500.00,,,missing_share_date,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为-0.45%/+2.03%/+5.23%，RSI14=58.2，KDJ=空头，MACD=收敛。,情绪分数47.2（中性）；5/10/20日份额净流入为+0.00亿/+0.01亿/N/A(missing_share_date)，5日成交量相对前20日为0.90倍，代表池综合宽度42.6%，缺失分项：无。
